,count,mean,std,min,1%,5%,25%,50%,75%,95%,99%,max,n_missing,pct_missing
market_cap,14576.0,38772911479.597626,227361783748.16156,501084582.07930946,518106950.3116608,634565224.2542026,1643514994.872421,4687633797.122833,15795665251.594238,119642353811.6211,442129450494.5388,4567913896179.199,0,0.0
price,14576.0,123.51890133119277,313.9779739117541,0.7027999758720398,2.549999952316284,6.460000038146973,22.585000038146973,57.58000183105469,133.11000061035156,390.9299926757813,946.969970703125,7523.1201171875,0,0.0
foreign_pretax_income,9493.0,529747448.29442745,2776456669.5037622,-11126000000.0,-685800000.0,-69527800.0,331000.0,33536000.0,216000000.0,2146970399.9999938,9679319999.999998,77300000000.0,5083,34.9
domestic_pretax_income,9367.0,549298745.5077399,3539345649.733277,-27704000000.0,-2685391260.0,-457970000.0,-38666500.0,46445000.0,298950000.0,2441009999.999995,13168180000.000027,108076000000.0,5209,35.7
total_pretax_income,14340.0,871455629.70788,4638601147.015879,-28883000000.0,-1919029999.9999998,-360256700.0,-11350500.0,101062000.0,473000000.0,3914149999.9999976,15112860000.000015,123485000000.0,236,1.6
foreign_profit_share,9375.0,-0.8502335430103268,130.6929623779781,-12542.0,-4.313863594887182,-0.44490332450728054,0.0058954909361055,0.2051521523643635,0.6720476339378778,1.5478355821002596,5.147244471798485,1436.0204081632653,5201,35.7
foreign_profit_share_winsorized,9375.0,0.35357394537451803,1.0101901182343114,-4.764333910731549,-4.313863594887182,-0.44490332450728054,0.0058954909361055,0.2051521523643635,0.6720476339378778,1.5478355821002596,5.147244471798485,5.360665658645211,5201,35.7
n_products_targeted,7408.0,847.8443574514039,609.5763354170153,14.0,17.0,64.0,414.0,617.0,1344.0,1730.0,1730.0,1730.0,7168,49.2
n_varieties_targeted,7408.0,1076.5517008639308,1559.4171083649458,14.0,17.0,64.0,429.0,878.0,1730.0,1730.0,14093.0,14093.0,7168,49.2
mean_tariff_increase,7408.0,0.1515037796976242,0.04220762309467739,0.1,0.1,0.1,0.12,0.13,0.2,0.21,0.21,0.21,7168,49.2
sd_tariff_increase,7408.0,0.052178725701943846,0.024910357353774084,0.0,0.0,0.0,0.05,0.06,0.07,0.07,0.08,0.08,7168,49.2
